ATTENDANCE SHEET - Session 1 - CLS-2026-001,,,,
SessionId: 1,ClassId: 1,SubjectId: 1,Date: 15/08/2026,Subject: Aviation Safety Fundamentals
EnrollmentId,FullName,UserCode,Status (Present/Absent)*,Remarks
1,Nguyen Van An,STU001,Present,On time and attentive
2,Tran Thi Binh,STU002,Present,On time and attentive
3,Le Van Cuong,STU003,Absent,Excused sick leave
4,Pham Thi Dung,STU004,Present,Arrived 15 minutes late due to traffic
5,Hoang Van Em,STU005,Present,On time and attentive
6,Do Thi Phuong,STU006,Present,On time and attentive
7,Ngo Van Giang,STU007,Absent,Unexcused absence
8,Vu Thi Hoa,STU008,Present,On time and attentive
9,Bui Van Inh,STU009,Present,On time and attentive
10,Dinh Thi Kim,STU010,Absent,Personal emergency
